,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price,wheel-base_lim,horsepower_lim,diff_horsepower_lim,diff_price,engine-size_decil
115,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,90,70,6295,94.5,70.0,-33.445807061073666,-6948.879396984925,1
114,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68,6229,93.7,68.0,-35.445807061073666,-7014.879396984925,1
104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,91,68,5195,93.1,68.0,-35.445807061073666,-8048.879396984925,1
128,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,91,68,6795,93.1,68.0,-35.445807061073666,-6448.879396984925,1
143,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,91,68,7395,93.1,68.0,-35.445807061073666,-5848.879396984925,1
111,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,91,68,6095,93.1,68.0,-35.445807061073666,-7148.879396984925,1
126,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,91,68,6695,93.1,68.0,-35.445807061073666,-6548.879396984925,1
130,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,92,76,6855,86.6,76.0,-27.445807061073666,-6388.879396984925,2
137,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,92,76,7129,93.7,76.0,-27.445807061073666,-6114.879396984925,2
139,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,92,76,7295,96.5,76.0,-27.445807061073666,-5948.879396984925,2
156,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,92,62,7898,95.7,62.0,-41.445807061073666,-5345.879396984925,2
140,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,92,76,7295,96.5,76.0,-27.445807061073666,-5948.879396984925,2
131,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,92,62,6918,95.7,62.0,-41.445807061073666,-6325.879396984925,2
120,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,92,76,6529,93.7,76.0,-27.445807061073666,-6714.879396984925,2
119,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,92,62,6488,95.7,62.0,-41.445807061073666,-6755.879396984925,2
118,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,92,58,6479,86.6,58.0,-45.445807061073666,-6764.879396984925,2
116,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,92,62,6338,95.7,62.0,-41.445807061073666,-6905.879396984925,2
112,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,92,68,6189,93.7,68.0,-35.445807061073666,-7054.879396984925,2
175,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,92,62,8778,95.7,62.0,-41.445807061073666,-4465.879396984925,2
106,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,92,68,5389,93.7,68.0,-35.445807061073666,-7854.879396984925,2
105,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,92,62,5348,95.7,62.0,-41.445807061073666,-7895.879396984925,2
123,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,92,68,6669,93.7,68.0,-35.445807061073666,-6574.879396984925,2
122,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,97,69,6649,94.5,69.0,-34.445807061073666,-6594.879396984925,2
129,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,97,69,6849,94.5,69.0,-34.445807061073666,-6394.879396984925,2
108,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,97,69,5499,94.5,69.0,-34.445807061073666,-7744.879396984925,2
141,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,97,69,7299,94.5,69.0,-34.445807061073666,-5944.879396984925,2
142,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,97,69,7349,94.5,69.0,-34.445807061073666,-5894.879396984925,2
102,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,97,69,5118,93.7,69.0,-34.445807061073666,-8125.879396984925,2
145,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,97,69,7499,94.5,69.0,-34.445807061073666,-5744.879396984925,2
189,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,97,68,9495,97.3,68.0,-35.445807061073666,-3748.879396984925,2
168,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,97,69,8249,95.1,69.0,-34.445807061073666,-4994.879396984925,2
162,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,97,69,7999,94.5,69.0,-34.445807061073666,-5244.879396984925,2
154,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,97,69,7799,94.5,69.0,-34.445807061073666,-5444.879396984925,2
151,volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,97,52,7775,97.3,52.0,-51.445807061073666,-5468.879396984925,2
161,volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,97,52,7995,97.3,52.0,-51.445807061073666,-5248.879396984925,2
35,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,97,68,13845,100.4,68.0,-35.445807061073666,601.1206030150752,2
169,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,98,70,8358,95.7,70.0,-33.445807061073666,-4885.879396984925,3
164,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,98,70,8058,94.5,70.0,-33.445807061073666,-5185.879396984925,3
174,dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,98,102,8558,93.7,102.0,-1.4458070610736655,-4685.879396984925,3
148,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,98,68,7609,93.7,68.0,-35.445807061073666,-5634.879396984925,3
184,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,98,70,9258,95.7,70.0,-33.445807061073666,-3985.879396984925,3
188,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,98,112,9298,94.5,112.0,8.554192938926334,-3945.879396984925,3
167,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,98,70,8238,94.5,70.0,-33.445807061073666,-5005.879396984925,3
159,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102,7957,93.7,102.0,-1.4458070610736655,-5286.879396984925,3
138,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,98,70,7198,95.7,70.0,-33.445807061073666,-6045.879396984925,3
149,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,98,102,7689,93.0,102.0,-1.4458070610736655,-5554.879396984925,3
150,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,98,70,7738,95.7,70.0,-33.445807061073666,-5505.879396984925,3
132,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,98,70,6938,95.7,70.0,-33.445807061073666,-6305.879396984925,3
190,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,98,112,9538,94.5,112.0,8.554192938926334,-3705.879396984925,3
158,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102,7957,93.7,102.0,-1.4458070610736655,-5286.879396984925,3
135,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,103,55,7099,94.5,55.0,-48.445807061073666,-6144.879396984925,4
146,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,108,73,7603,93.3,73.0,-30.445807061073666,-5640.879396984925,4
183,subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,108,82,9233,97.0,82.0,-21.445807061073666,-4010.879396984925,4
195,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,108,94,9960,97.2,94.0,-9.445807061073666,-3283.879396984925,4
13,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,108,111,11259,97.0,111.0,7.5541929389263345,-1984.8793969849248,4
0,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,108,94,10198,97.0,94.0,-9.445807061073666,-3045.879396984925,4
136,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,108,82,7126,97.2,82.0,-21.445807061073666,-6117.879396984925,4
163,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,108,82,8013,96.9,82.0,-21.445807061073666,-5230.879396984925,4
144,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,108,82,7463,97.0,82.0,-21.445807061073666,-5780.879396984925,4
59,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101,16925,101.2,101.0,-2.4458070610736655,3681.120603015075,4
152,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,108,82,7775,97.2,82.0,-21.445807061073666,-5468.879396984925,4
134,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,108,73,7053,93.7,73.0,-30.445807061073666,-6190.879396984925,4
49,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101,16430,101.2,101.0,-2.4458070610736655,3186.120603015075,4
16,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,108,111,11694,96.9,111.0,7.5541929389263345,-1549.8793969849248,4
172,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,109,85,8495,97.3,85.0,-18.445807061073666,-4748.879396984925,4
160,volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,109,85,7975,97.3,85.0,-18.445807061073666,-5268.879396984925,4
196,volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,109,90,9980,94.5,90.0,-13.445807061073666,-3263.879396984925,4
166,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,109,85,8195,97.3,85.0,-18.445807061073666,-5048.879396984925,4
199,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,109,100,9995,97.3,100.0,-3.4458070610736655,-3248.879396984925,4
15,volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,109,90,11595,94.5,90.0,-13.445807061073666,-1648.8793969849248,4
21,volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,109,88,12290,100.4,88.0,-15.445807061073666,-953.8793969849248,4
176,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,110,86,8845,96.5,86.0,-17.445807061073666,-4398.879396984925,5
157,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,110,56,7898,95.7,56.0,-47.445807061073666,-5345.879396984925,5
2,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,110,86,10295,96.5,86.0,-17.445807061073666,-2948.879396984925,5
194,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,110,116,9959,96.3,116.0,12.554192938926334,-3284.879396984925,5
26,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,110,101,12945,96.5,101.0,-2.4458070610736655,-298.8793969849248,5
155,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,110,86,7895,96.5,86.0,-17.445807061073666,-5348.879396984925,5
3,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,110,100,10345,96.5,100.0,-3.4458070610736655,-2898.879396984925,5
153,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,110,56,7788,95.7,56.0,-47.445807061073666,-5455.879396984925,5
5,toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,110,73,10698,102.4,73.0,-30.445807061073666,-2545.879396984925,5
182,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,110,86,9095,96.5,86.0,-17.445807061073666,-4148.879396984925,5
186,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116,9279,96.3,116.0,12.554192938926334,-3964.879396984925,5
185,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116,9279,96.3,116.0,12.554192938926334,-3964.879396984925,5
127,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,111,78,6785,94.3,78.0,-25.445807061073666,-6458.879396984925,5
9,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,119,90,11048,96.0,90.0,-13.445807061073666,-2195.879396984925,5
43,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,95,15580,107.9,95.0,-8.445807061073666,2336.120603015075,5
181,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,120,97,8949,97.2,97.0,-6.4458070610736655,-4294.879396984925,5
19,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,120,97,11900,107.9,97.0,-6.4458070610736655,-1343.8793969849248,5
191,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,120,97,9549,97.2,97.0,-6.4458070610736655,-3694.879396984925,5
56,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,120,95,16695,114.2,95.0,-8.445807061073666,3451.120603015075,5
22,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,120,97,12440,114.2,97.0,-6.4458070610736655,-803.8793969849248,5
55,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,97,16630,107.9,97.0,-6.4458070610736655,3386.120603015075,5
72,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,121,160,18620,99.1,160.0,56.554192938926334,5376.120603015075,6
40,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,121,110,15040,99.1,110.0,6.5541929389263345,1796.1206030150752,6
42,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,121,110,15510,99.1,110.0,6.5541929389263345,2266.120603015075,6
20,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,121,110,12170,99.1,110.0,6.5541929389263345,-1073.8793969849248,6
18,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,121,110,11850,99.1,110.0,6.5541929389263345,-1393.8793969849248,6
67,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,121,160,18150,99.1,160.0,56.554192938926334,4906.120603015075,6
197,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,122,92,9988,102.4,92.0,-11.445807061073666,-3255.879396984925,6
165,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,122,88,8189,96.3,88.0,-15.445807061073666,-5054.879396984925,6
12,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,122,92,11248,102.4,92.0,-11.445807061073666,-1995.8793969849248,6
7,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,122,92,10898,102.4,92.0,-11.445807061073666,-2345.879396984925,6
133,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,122,88,6989,96.3,88.0,-15.445807061073666,-6254.879396984925,6
1,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84,10245,98.8,84.0,-19.445807061073666,-2998.879396984925,6
6,mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,122,64,10795,98.8,64.0,-39.445807061073666,-2448.879396984925,6
4,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84,10595,98.8,84.0,-19.445807061073666,-2648.879396984925,6
11,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,122,84,11245,98.8,84.0,-19.445807061073666,-1998.8793969849248,6
173,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,122,88,8499,96.3,88.0,-15.445807061073666,-4744.879396984925,6
177,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84,8845,98.8,84.0,-19.445807061073666,-4398.879396984925,6
178,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88,8921,103.3,88.0,-15.445807061073666,-4322.879396984925,6
179,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88,8921,103.3,88.0,-15.445807061073666,-4322.879396984925,6
180,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,122,92,8948,102.4,92.0,-11.445807061073666,-4295.879396984925,6
171,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84,8495,98.8,84.0,-19.445807061073666,-4748.879396984925,6
51,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111,16500,88.6,111.0,7.5541929389263345,3256.120603015075,7
31,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111,13495,88.6,111.0,7.5541929389263345,251.12060301507518,7
71,volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,130,162,18420,104.3,162.0,58.554192938926334,5176.120603015075,7
74,volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,130,162,18950,104.3,162.0,58.554192938926334,5706.120603015075,7
83,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,131,140,23875,105.8,140.0,36.554192938926334,10631.120603015075,7
187,renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,132,103,9295,96.1,103.0,-0.4458070610736655,-3948.879396984925,7
193,renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,54.0,2460,132,103,9895,96.1,103.0,-0.4458070610736655,-3348.879396984925,7
66,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,134,142,18150,108.0,142.0,38.554192938926334,4906.120603015075,7
69,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,134,72,18344,104.9,72.0,-31.445807061073666,5100.120603015075,7
64,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,136,110,17710,105.8,110.0,6.5541929389263345,4466.120603015075,7
73,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,136,110,18920,105.8,110.0,6.5541929389263345,5676.120603015075,7
29,volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,136,110,13295,100.4,110.0,6.5541929389263345,51.120603015075176,7
62,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,136,115,17450,99.4,115.0,11.554192938926334,4206.120603015075,7
41,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,136,110,15250,99.8,110.0,6.5541929389263345,2006.1206030150752,7
52,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,140,175,16503,102.7,175.0,71.55419293892633,3259.120603015075,8
68,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,140,120,18280,104.9,120.0,16.554192938926334,5036.120603015075,8
25,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,141,114,12940,104.3,114.0,10.554192938926334,-303.8793969849248,8
30,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,141,114,13415,104.3,114.0,10.554192938926334,171.12060301507518,8
82,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,141,114,22625,109.1,114.0,10.554192938926334,9381.120603015075,8
75,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,141,160,19045,109.1,160.0,56.554192938926334,5801.120603015075,8
47,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,141,114,15985,104.3,114.0,10.554192938926334,2741.120603015075,8
57,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,141,114,16845,109.1,114.0,10.554192938926334,3601.120603015075,8
53,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,141,114,16515,104.3,114.0,10.554192938926334,3271.120603015075,8
81,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,145,106,22470,109.1,106.0,2.5541929389263345,9226.120603015075,8
192,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,146,116,9639,98.4,116.0,12.554192938926334,-3604.879396984925,8
198,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,146,116,9989,98.4,116.0,12.554192938926334,-3254.879396984925,8
10,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,146,116,11199,98.4,116.0,12.554192938926334,-2044.8793969849248,8
170,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,146,116,8449,98.4,116.0,12.554192938926334,-4794.879396984925,8
14,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,146,116,11549,98.4,116.0,12.554192938926334,-1694.8793969849248,8
63,toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,146,116,17669,98.4,116.0,12.554192938926334,4425.120603015075,8
80,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,151,143,22018,94.5,143.0,39.554192938926334,8774.120603015075,8
65,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95,17950,107.9,95.0,-8.445807061073666,4706.120603015075,8
60,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,152,95,17075,114.2,95.0,-8.445807061073666,3831.120603015075,8
58,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95,16900,107.9,95.0,-8.445807061073666,3656.120603015075,8
36,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,152,95,13860,114.2,95.0,-8.445807061073666,616.1206030150752,8
50,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,152,154,16500,94.5,154.0,50.554192938926334,3256.120603015075,8
28,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,152,95,13200,107.9,95.0,-8.445807061073666,-43.879396984924824,8
24,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,156,145,12764,95.9,145.0,41.554192938926334,-479.8793969849248,9
23,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,156,145,12629,95.9,145.0,41.554192938926334,-614.8793969849248,9
27,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,156,145,12964,95.9,145.0,41.554192938926334,-279.8793969849248,9
38,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,156,145,14489,95.9,145.0,41.554192938926334,1245.1206030150752,9
39,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,156,145,14869,95.9,145.0,41.554192938926334,1625.1206030150752,9
46,toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,161,156,15750,104.5,156.0,52.554192938926334,2506.120603015075,9
78,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,164,121,21105,101.2,121.0,17.554192938926334,7861.120603015075,9
84,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,164,121,24565,103.5,121.0,17.554192938926334,11321.120603015075,9
77,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,164,121,20970,101.2,121.0,17.554192938926334,7726.120603015075,9
54,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,171,161,16558,102.9,161.0,57.554192938926334,3314.120603015075,9
45,toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,171,156,15690,104.5,156.0,52.554192938926334,2446.120603015075,9
48,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,171,161,15998,102.9,161.0,57.554192938926334,2754.120603015075,9
79,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,173,134,21485,109.1,134.0,30.554192938926334,8241.120603015075,9
37,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,181,152,14399,100.4,152.0,48.554192938926334,1155.1206030150752,9
