make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price
volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,141,114.0,22625.0
audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,131,140.0,23875.0
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,164,121.0,24565.0
mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,183,123.0,25552.0
mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,183,123.0,28176.0
mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,183,123.0,28248.0
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,209,182.0,30760.0
mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,183,123.0,31600.0
jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176.0,32250.0
porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207.0,32528.0
porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207.0,34028.0
mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,234,155.0,34184.0
mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,234,155.0,35056.0
jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176.0,35550.0
jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,326,262.0,36000.0
bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,209,182.0,36880.0
porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,194,207.0,37028.0
mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,308,184.0,40960.0
bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,209,182.0,41315.0
mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,304,184.0,45400.0
subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,97,69.0,5118.0
chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,61,48.0,5151.0
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,91,68.0,5195.0
toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,92,62.0,5348.0
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,92,68.0,5389.0
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,79,60.0,5399.0
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,97,69.0,5499.0
plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,90,68.0,5572.0
dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68.0,5572.0
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,91,68.0,6095.0
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,92,68.0,6189.0
dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68.0,6229.0
plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68.0,6229.0
chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,90,70.0,6295.0
toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,92,62.0,6338.0
dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68.0,6377.0
honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,92,58.0,6479.0
toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,92,62.0,6488.0
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,92,76.0,6529.0
chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,90,70.0,6575.0
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,97,69.0,6649.0
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,92,68.0,6669.0
plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,90,68.0,6692.0
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68.0,6692.0
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,91,68.0,6695.0
isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,111,78.0,6785.0
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,91,68.0,6795.0
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,97,69.0,6849.0
honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,92,76.0,6855.0
toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,92,62.0,6918.0
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,98,70.0,6938.0
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,122,88.0,6989.0
subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,108,73.0,7053.0
nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,103,55.0,7099.0
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,108,82.0,7126.0
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,92,76.0,7129.0
toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,98,70.0,7198.0
honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,92,76.0,7295.0
honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,92,76.0,7295.0
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,97,69.0,7299.0
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,97,69.0,7349.0
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,91,68.0,7395.0
subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,108,82.0,7463.0
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,97,69.0,7499.0
subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,108,73.0,7603.0
plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,98,68.0,7609.0
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68.0,7609.0
mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,98,102.0,7689.0
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,98,70.0,7738.0
volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,97,52.0,7775.0
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,108,82.0,7775.0
toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,110,56.0,7788.0
nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,97,69.0,7799.0
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,110,86.0,7895.0
toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,92,62.0,7898.0
toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,110,56.0,7898.0
dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102.0,7957.0
plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102.0,7957.0
volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,109,85.0,7975.0
volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,97,52.0,7995.0
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,97,69.0,7999.0
subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,108,82.0,8013.0
toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,98,70.0,8058.0
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,122,88.0,8189.0
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,109,85.0,8195.0
toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,98,70.0,8238.0
nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,97,69.0,8249.0
toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,98,70.0,8358.0
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,146,116.0,8449.0
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,109,85.0,8495.0
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84.0,8495.0
mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,122,88.0,8499.0
dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,98,102.0,8558.0
toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,92,62.0,8778.0
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,110,86.0,8845.0
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84.0,8845.0
dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88.0,8921.0
plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88.0,8921.0
toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,122,92.0,8948.0
nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,120,97.0,8949.0
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,110,86.0,9095.0
subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,108,82.0,9233.0
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,98,70.0,9258.0
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116.0,9279.0
mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116.0,9279.0
renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,132,103.4040404040404,9295.0
toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,98,112.0,9298.0
volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,97,68.0,9495.0
toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,98,112.0,9538.0
nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,120,97.0,9549.0
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,146,116.0,9639.0
renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,53.780402010050246,2460,132,103.4040404040404,9895.0
mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,110,116.0,9959.0
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,108,94.0,9960.0
volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,109,90.0,9980.0
toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,122,92.0,9988.0
toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,146,116.0,9989.0
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,109,100.0,9995.0
