make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price,length_min_max,width_std,height_log,price_decile
volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,141,114,16515,0.71,0.21,4.07,0.8
toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,171,161,16558,0.63,0.29,3.97,0.8
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,97,16630,0.68,0.4,4.06,0.8
peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,120,95,16695,0.86,0.4,4.06,0.8
volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,141,114,16845,0.71,0.48,4.03,0.8
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95,16900,0.68,0.4,4.06,0.8
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101,16925,0.53,-0.17,4.01,0.8
peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,152,95,17075,0.86,0.4,4.09,0.8
nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,181,160,17199,0.44,0.32,3.93,0.8
audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,136,115,17450,0.53,0.08,4.01,0.9
toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,146,116,17669,0.52,-0.05,3.99,0.9
audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,136,110,17710,0.77,0.87,4.04,0.9
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95,17950,0.68,0.4,4.06,0.9
peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,134,142,18150,0.68,0.38,4.04,0.9
saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,121,160,18150,0.68,0.1,4.04,0.9
mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,140,120,18280,0.51,0.03,4.01,0.9
mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,134,72,18344,0.51,0.03,4.01,0.9
nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,181,160,18399,0.56,0.32,3.93,0.9
volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,130,162,18420,0.71,0.21,4.05,0.9
saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,121,160,18620,0.68,0.1,4.04,0.9
audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,136,110,18920,0.77,0.87,4.04,0.9
volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,130,162,18950,0.71,0.21,4.07,0.9
volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,141,160,19045,0.71,0.46,4.03,0.9
nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,181,200,19699,0.44,0.32,3.93,0.9
bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,164,121,20970,0.53,-0.17,4.01,0.9
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,164,121,21105,0.53,-0.17,4.01,0.9
volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,173,134,21485,0.71,0.48,4.03,0.9
porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,151,143,22018,0.41,0.38,3.94,0.9
volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,145,106,22470,0.71,0.48,4.03,0.9
volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,141,114,22625,0.71,0.48,4.03,1.0
audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,131,140,23875,0.77,0.87,4.04,1.0
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,164,121,24565,0.71,0.16,4.04,1.0
mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,183,123,25552,0.74,0.7,4.05,1.0
mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,183,123,28176,0.69,0.7,4.02,1.0
mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,183,123,28248,0.74,0.7,4.09,1.0
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,209,182,30760,0.71,0.16,4.04,1.0
mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,183,123,31600,0.92,0.92,4.05,1.0
jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176,32250,0.87,0.59,3.99,1.0
porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207,32528,0.41,-0.14,3.96,1.0
porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207,34028,0.41,-0.14,3.96,1.0
mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,234,155,34184,0.92,0.92,4.05,1.0
mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,234,155,35056,0.59,0.73,3.95,1.0
jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176,35550,0.87,0.59,3.99,1.0
jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,326,262,36000,0.76,0.75,3.89,1.0
bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,209,182,36880,0.83,0.79,4.05,1.0
porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,194,207,37028,0.41,-0.14,3.96,1.0
mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,308,184,40960,1.0,0.92,4.06,1.0
bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,209,182,41315,0.79,0.32,4.0,1.0
mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,304,184,45400,0.87,0.97,4.03,1.0
subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,97,69,5118,0.24,-0.39,4.0,0.1
chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,61,48,5151,0.0,-0.88,3.99,0.1
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,91,68,5195,0.27,-0.27,4.01,0.1
toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,92,62,5348,0.26,-0.36,4.02,0.1
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,92,68,5389,0.24,-0.24,3.95,0.1
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,79,60,5399,0.13,-0.3,3.98,0.1
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,97,69,5499,0.36,-0.33,4.02,0.1
dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68,5572,0.24,-0.33,3.95,0.1
plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,90,68,5572,0.24,-0.33,3.95,0.1
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,91,68,6095,0.27,-0.27,4.01,0.1
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,92,68,6189,0.24,-0.24,3.95,0.1
plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68,6229,0.24,-0.33,3.94,0.1
dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68,6229,0.24,-0.33,3.94,0.1
chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,90,70,6295,0.22,-0.36,3.97,0.1
toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,92,62,6338,0.26,-0.36,4.02,0.1
dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68,6377,0.24,-0.33,3.95,0.1
honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,92,58,6479,0.05,-0.31,3.95,0.1
toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,92,62,6488,0.26,-0.36,4.02,0.1
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,92,76,6529,0.13,-0.3,3.98,0.1
chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,90,70,6575,0.26,-0.36,3.97,0.1
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,97,69,6649,0.36,-0.33,4.02,0.2
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,92,68,6669,0.24,-0.24,3.95,0.2
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68,6692,0.24,-0.33,3.94,0.2
plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,90,68,6692,0.39,-0.33,3.95,0.2
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,91,68,6695,0.38,-0.27,4.01,0.2
isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,111,78,6785,0.44,-0.65,4.0,0.2
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,91,68,6795,0.27,-0.27,4.01,0.2
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,97,69,6849,0.36,-0.33,4.02,0.2
honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,92,76,6855,0.05,-0.31,3.95,0.2
toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,92,62,6918,0.43,-0.36,4.1,0.2
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,98,70,6938,0.38,-0.24,3.99,0.2
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,122,88,6989,0.47,-0.08,3.96,0.2
subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,108,73,7053,0.25,-0.36,4.0,0.2
nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,103,55,7099,0.36,-0.33,4.02,0.2
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,108,82,7126,0.46,-0.08,3.98,0.2
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,92,76,7129,0.13,-0.3,3.98,0.2
toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,98,70,7198,0.38,-0.24,3.99,0.2
honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,92,76,7295,0.24,-0.31,4.08,0.2
honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,92,76,7295,0.33,-0.3,4.02,0.2
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,97,69,7299,0.36,-0.33,4.02,0.2
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,97,69,7349,0.43,-0.33,4.0,0.3
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,91,68,7395,0.38,-0.27,4.01,0.3
subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,108,82,7463,0.48,-0.08,3.99,0.3
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,97,69,7499,0.36,-0.33,4.02,0.3
subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,108,73,7603,0.24,-0.33,4.04,0.3
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68,7609,0.24,-0.33,3.94,0.3
plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,98,68,7609,0.39,-0.33,3.95,0.3
mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,98,102,7689,0.24,-0.33,3.95,0.3
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,98,70,7738,0.38,-0.24,3.99,0.3
volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,97,52,7775,0.46,-0.06,4.04,0.3
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,108,82,7775,0.46,-0.08,3.98,0.3
toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,110,56,7788,0.38,-0.24,3.99,0.3
nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,97,69,7799,0.37,-0.33,3.99,0.3
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,110,86,7895,0.39,-0.11,3.99,0.3
toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,92,62,7898,0.43,-0.36,4.1,0.3
toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,110,56,7898,0.38,-0.24,3.99,0.3
dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102,7957,0.24,-0.33,3.95,0.3
plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102,7957,0.24,-0.33,3.95,0.3
volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,109,85,7975,0.46,-0.06,4.04,0.3
volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,97,52,7995,0.46,-0.06,4.04,0.3
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,97,69,7999,0.43,-0.33,4.0,0.4
subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,108,82,8013,0.49,-0.08,4.02,0.4
toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,98,70,8058,0.41,-0.3,3.98,0.4
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,122,88,8189,0.47,-0.08,3.96,0.4
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,109,85,8195,0.46,-0.06,4.04,0.4
toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,98,70,8238,0.41,-0.3,3.98,0.4
nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,97,69,8249,0.32,-0.33,3.99,0.4
toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,98,70,8358,0.38,-0.24,3.99,0.4
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,146,116,8449,0.52,-0.05,3.97,0.4
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84,8495,0.55,0.1,4.03,0.4
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,109,85,8495,0.46,-0.06,4.04,0.4
mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,122,88,8499,0.48,-0.08,3.92,0.4
dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,98,102,8558,0.24,-0.33,3.94,0.4
toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,92,62,8778,0.43,-0.36,4.1,0.4
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,110,86,8845,0.51,-0.11,4.01,0.4
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84,8845,0.55,0.1,4.0,0.4
dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88,8921,0.5,-0.2,4.11,0.4
plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88,8921,0.5,-0.2,4.11,0.4
toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,122,92,8948,0.51,0.1,4.02,0.4
nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,120,97,8949,0.48,-0.11,4.02,0.4
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,110,86,9095,0.39,-0.11,3.99,0.5
subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,108,82,9233,0.46,-0.08,4.01,0.5
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,98,70,9258,0.38,-0.24,3.99,0.5
mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116,9279,0.47,-0.08,3.96,0.5
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116,9279,0.47,-0.08,3.96,0.5
renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,132,103,9295,0.6,0.1,4.03,0.5
toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,98,112,9298,0.41,-0.3,3.98,0.5
volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,97,68,9495,0.46,-0.06,4.04,0.5
toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,98,112,9538,0.41,-0.3,3.98,0.5
nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,120,97,9549,0.48,-0.11,4.02,0.5
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,146,116,9639,0.52,-0.05,3.97,0.5
renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,54.0,2460,132,103,9895,0.53,0.11,4.01,0.5
mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,110,116,9959,0.48,-0.08,3.92,0.5
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,108,94,9960,0.46,-0.08,3.98,0.5
volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,109,90,9980,0.37,-0.3,3.96,0.5
toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,122,92,9988,0.51,0.1,4.01,0.5
toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,146,116,9989,0.52,-0.05,3.97,0.5
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,109,100,9995,0.46,-0.06,4.04,0.5
