make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price,wheel-base_lim,horsepower_lim,engine-size_decil
mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,183,123,28248,110.0,123.0,10
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,209,182,30760,103.5,182.0,10
mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,183,123,31600,115.6,123.0,10
jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176,32250,113.0,176.0,10
porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207,32528,89.5,207.0,10
porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207,34028,89.5,207.0,10
mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,234,155,34184,115.6,155.0,10
mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,234,155,35056,96.6,155.0,10
jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176,35550,113.0,176.0,10
jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,326,262,36000,102.0,215.7777727982517,10
bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,209,182,36880,110.0,182.0,10
porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,194,207,37028,89.5,207.0,10
mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,308,184,40960,117.03551262130784,184.0,10
bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,209,182,41315,103.5,182.0,10
mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,304,184,45400,112.0,184.0,10
subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,97,69,5118,93.7,69.0,2
chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.43750000000003,60.3,53.2,1488,61,48,5151,88.4,48.0,1
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,91,68,5195,93.1,68.0,1
toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,92,62,5348,95.7,62.0,2
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,92,68,5389,93.7,68.0,2
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,79,60,5399,93.7,60.0,1
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,97,69,5499,94.5,69.0,2
dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68,5572,93.7,68.0,1
plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,90,68,5572,93.7,68.0,1
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,91,68,6095,93.1,68.0,1
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,92,68,6189,93.7,68.0,2
plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68,6229,93.7,68.0,1
dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68,6229,93.7,68.0,1
chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,90,70,6295,94.5,70.0,1
toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,92,62,6338,95.7,62.0,2
dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68,6377,93.7,68.0,1
honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,92,58,6479,86.6,58.0,2
toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,92,62,6488,95.7,62.0,2
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,92,76,6529,93.7,76.0,2
chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,90,70,6575,94.5,70.0,1
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,97,69,6649,94.5,69.0,2
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,92,68,6669,93.7,68.0,2
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68,6692,93.7,68.0,1
plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,90,68,6692,93.7,68.0,1
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,91,68,6695,93.1,68.0,1
isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,111,78,6785,94.3,78.0,5
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,91,68,6795,93.1,68.0,1
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,97,69,6849,94.5,69.0,2
honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,92,76,6855,86.6,76.0,2
toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,92,62,6918,95.7,62.0,2
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,98,70,6938,95.7,70.0,3
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,122,88,6989,96.3,88.0,6
subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,108,73,7053,93.7,73.0,4
nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,103,55,7099,94.5,55.0,4
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,108,82,7126,97.2,82.0,4
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,92,76,7129,93.7,76.0,2
toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,98,70,7198,95.7,70.0,3
honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,92,76,7295,96.5,76.0,2
honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,92,76,7295,96.5,76.0,2
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,97,69,7299,94.5,69.0,2
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,97,69,7349,94.5,69.0,2
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,91,68,7395,93.1,68.0,1
subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,108,82,7463,97.0,82.0,4
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,97,69,7499,94.5,69.0,2
subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,108,73,7603,93.3,73.0,4
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68,7609,93.7,68.0,1
plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,98,68,7609,93.7,68.0,3
mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,98,102,7689,93.0,102.0,3
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,98,70,7738,95.7,70.0,3
volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,97,52,7775,97.3,52.0,2
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,108,82,7775,97.2,82.0,4
toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,110,56,7788,95.7,56.0,5
nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,97,69,7799,94.5,69.0,2
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,110,86,7895,96.5,86.0,5
toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,92,62,7898,95.7,62.0,2
toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,110,56,7898,95.7,56.0,5
dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102,7957,93.7,102.0,3
plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102,7957,93.7,102.0,3
volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,109,85,7975,97.3,85.0,4
volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,97,52,7995,97.3,52.0,2
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,97,69,7999,94.5,69.0,2
subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,108,82,8013,96.9,82.0,4
toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,98,70,8058,94.5,70.0,3
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,122,88,8189,96.3,88.0,6
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,109,85,8195,97.3,85.0,4
toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,98,70,8238,94.5,70.0,3
nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,97,69,8249,95.1,69.0,2
toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,98,70,8358,95.7,70.0,3
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,146,116,8449,98.4,116.0,8
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84,8495,98.8,84.0,6
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,109,85,8495,97.3,85.0,4
mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,122,88,8499,96.3,88.0,6
dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,98,102,8558,93.7,102.0,3
toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,92,62,8778,95.7,62.0,2
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,110,86,8845,96.5,86.0,5
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84,8845,98.8,84.0,6
dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88,8921,103.3,88.0,6
plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88,8921,103.3,88.0,6
toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,122,92,8948,102.4,92.0,6
nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,120,97,8949,97.2,97.0,5
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,110,86,9095,96.5,86.0,5
subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,108,82,9233,97.0,82.0,4
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,98,70,9258,95.7,70.0,3
mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116,9279,96.3,116.0,5
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116,9279,96.3,116.0,5
renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,132,103,9295,96.1,103.0,7
toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,98,112,9298,94.5,112.0,3
volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,97,68,9495,97.3,68.0,2
toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,98,112,9538,94.5,112.0,3
nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,120,97,9549,97.2,97.0,5
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,146,116,9639,98.4,116.0,8
renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,54.0,2460,132,103,9895,96.1,103.0,7
mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,110,116,9959,96.3,116.0,5
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,108,94,9960,97.2,94.0,4
volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,109,90,9980,94.5,90.0,4
toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,122,92,9988,102.4,92.0,6
toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,146,116,9989,98.4,116.0,8
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,109,100,9995,97.3,100.0,4
