make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price
jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176,35550
jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176,32250
bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,209,182,41315
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,209,182,30760
bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,209,182,36880
mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,308,184,40960
mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,304,184,45400
nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,181,200,19699
porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,194,207,37028
porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207,32528
porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207,34028
jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,326,262,36000
chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,61,48,5151
volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,97,52,7995
volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,97,52,7775
nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,103,55,7099
toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,110,56,7788
toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,110,56,7898
honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,92,58,6479
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,79,60,5399
toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,92,62,6488
toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,92,62,5348
toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,92,62,6918
toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,92,62,6338
toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,92,62,7898
toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,92,62,8778
mazda,diesel,std,,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,122,64,10795
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,91,68,6795
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,91,68,6695
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68,6692
plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,90,68,6692
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,92,68,6669
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,91,68,7395
plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,98,68,7609
dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68,6377
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68,7609
plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68,6229
dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68,6229
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,92,68,6189
volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,97,68,9495
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,91,68,6095
dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68,5572
plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,90,68,5572
volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,97,68,13845
mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,92,68,5389
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,91,68,5195
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,97,69,7349
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,97,69,7299
nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,97,69,7799
nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,97,69,8249
subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,97,69,5118
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,97,69,7499
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,97,69,7999
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,97,69,6849
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,97,69,5499
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,97,69,6649
toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,98,70,8058
toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,98,70,8358
toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,98,70,7198
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,98,70,9258
chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,90,70,6575
toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,98,70,8238
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,98,70,7738
chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,90,70,6295
toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,98,70,6938
mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,134,72,18344
subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,108,73,7603
subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,108,73,7053
toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,110,73,10698
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,92,76,6529
honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,92,76,7295
honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,92,76,7295
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,92,76,7129
honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,92,76,6855
isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,111,78,6785
subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,108,82,7463
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,108,82,7775
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,108,82,7126
subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,108,82,8013
subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,108,82,9233
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84,8845
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84,10245
mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,122,84,11245
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84,8495
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84,10595
volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,109,85,7975
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,109,85,8195
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,109,85,8495
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,110,86,8845
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,110,86,9095
honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,110,86,10295
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,110,86,7895
dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88,8921
plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,88,8921
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,122,88,8189
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,122,88,6989
volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,109,88,12290
mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,122,88,8499
volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,109,90,9980
volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,109,90,11595
isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,119,90,11048
toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,122,92,11248
toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,122,92,9988
toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,122,92,8948
toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,122,92,10898
subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,108,94,9960
subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,108,94,10198
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95,16900
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,95,15580
peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,152,95,13860
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,152,95,13200
peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,152,95,17075
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95,17950
peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,120,95,16695
nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,120,97,9549
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,97,16630
nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,120,97,8949
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,120,97,11900
peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,120,97,12440
renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,132,,9295
renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,?,2460,132,,9895
